,Race,Age,Gender,Location,Year,Count,Population
283,Asian,15–19,F,D4,2011,1.0,10.0
284,Asian,15–19,F,D4,2012,0.0,9.0
285,Asian,15–19,F,D4,2013,0.0,9.0
286,Asian,15–19,F,D4,2014,3.0,6.0
287,Asian,15–19,F,D4,2015,0.0,3.0
288,Asian,15–19,F,B3,2010,1.0,79.0
289,Asian,15–19,F,B3,2011,1.0,68.0
290,Asian,15–19,F,B3,2012,0.0,69.0
291,Asian,15–19,F,B3,2013,1.0,68.0
292,Asian,15–19,F,B3,2014,6.0,74.0
293,Asian,15–19,F,B3,2015,5.0,81.0
294,Asian,15–19,F,B2,2010,0.0,10.0
295,Asian,15–19,F,B2,2011,0.0,14.0
296,Asian,15–19,F,B2,2012,0.0,13.0
297,Asian,15–19,F,B2,2013,0.0,10.0
298,Asian,15–19,F,B2,2014,1.0,12.0
299,Asian,15–19,F,B2,2015,1.0,14.0
300,Asian,15–19,F,H4,2010,4.0,28.0
301,Asian,15–19,F,H4,2011,2.0,29.0
302,Asian,15–19,F,H4,2012,2.0,26.0
303,Asian,15–19,F,H4,2013,4.0,24.0
304,Asian,15–19,F,H4,2014,2.0,23.0
305,Asian,15–19,F,H4,2015,2.0,29.0
306,Asian,15–19,F,D6,2010,1.0,56.0
307,Asian,15–19,F,D6,2011,2.0,53.0
308,Asian,15–19,F,D6,2012,7.0,58.0
309,Asian,15–19,F,D6,2013,5.0,62.0
310,Asian,15–19,F,D6,2014,5.0,61.0
311,Asian,15–19,F,D6,2015,6.0,67.0
312,Asian,15–19,F,B4,2010,0.0,21.0
313,Asian,15–19,F,B4,2011,1.0,26.0
314,Asian,15–19,F,B4,2012,0.0,27.0
315,Asian,15–19,F,B4,2013,4.0,35.0
316,Asian,15–19,F,B4,2014,3.0,39.0
317,Asian,15–19,F,B4,2015,5.0,43.0
318,Asian,15–19,F,G6,2010,0.0,21.0
319,Asian,15–19,F,G6,2011,3.0,19.0
320,Asian,15–19,F,G6,2012,0.0,19.0
321,Asian,15–19,F,G6,2013,1.0,17.0
322,Asian,15–19,F,G6,2014,1.0,15.0
323,Asian,15–19,F,G6,2015,3.0,12.0
324,Asian,15–19,F,C8,2010,1.0,8.0
325,Asian,15–19,F,C8,2011,0.0,8.0
326,Asian,15–19,F,C8,2012,2.0,9.0
327,Asian,15–19,F,C8,2013,0.0,14.0
328,Asian,15–19,F,C8,2014,0.0,12.0
329,Asian,15–19,F,C8,2015,1.0,14.0
330,Asian,15–19,F,E7,2010,0.0,13.0
331,Asian,15–19,F,E7,2011,0.0,14.0
332,Asian,15–19,F,E7,2012,2.0,15.0
333,Asian,15–19,F,E7,2013,6.0,19.0
334,Asian,15–19,F,E7,2014,2.0,22.0
335,Asian,15–19,F,E7,2015,5.0,22.0
336,Asian,15–19,F,D7,2010,3.0,491.0
337,Asian,15–19,F,D7,2011,4.0,526.0
338,Asian,15–19,F,D7,2012,2.0,589.0
339,Asian,15–19,F,D7,2013,1.0,615.0
340,Asian,15–19,F,D7,2014,5.0,628.0
341,Asian,15–19,F,D7,2015,4.0,644.0
342,Asian,15–19,M,F4,2010,11.0,143.0
343,Asian,15–19,M,F4,2011,10.0,143.0
344,Asian,15–19,M,F4,2012,11.0,156.0
345,Asian,15–19,M,F4,2013,7.0,141.0
346,Asian,15–19,M,F4,2014,11.0,143.0
347,Asian,15–19,M,F4,2015,3.0,148.0
348,Asian,15–19,M,C3,2010,18.0,1477.0
349,Asian,15–19,M,C3,2011,18.0,1598.0
350,Asian,15–19,M,C3,2012,14.0,1691.0
351,Asian,15–19,M,C3,2013,14.0,1797.0
352,Asian,15–19,M,C3,2014,17.0,1874.0
353,Asian,15–19,M,C3,2015,15.0,2036.0
354,Asian,15–19,M,E5,2010,3.0,26.0
355,Asian,15–19,M,E5,2011,1.0,27.0
356,Asian,15–19,M,E5,2012,5.0,29.0
357,Asian,15–19,M,E5,2013,0.0,25.0
358,Asian,15–19,M,E5,2014,1.0,25.0
359,Asian,15–19,M,E5,2015,4.0,19.0
360,Asian,15–19,M,H6,2010,1.0,30.0
361,Asian,15–19,M,H6,2011,1.0,37.0
362,Asian,15–19,M,H6,2012,0.0,34.0
363,Asian,15–19,M,H6,2013,1.0,42.0
364,Asian,15–19,M,H6,2014,2.0,50.0
365,Asian,15–19,M,H6,2015,1.0,46.0
366,Asian,15–19,M,E4,2010,9.0,245.0
367,Asian,15–19,M,E4,2011,2.0,252.0
368,Asian,15–19,M,E4,2012,8.0,237.0
369,Asian,15–19,M,E4,2013,1.0,231.0
370,Asian,15–19,M,E4,2014,2.0,248.0
371,Asian,15–19,M,E4,2015,6.0,266.0
372,Asian,15–19,M,H1,2010,11.0,89.0
373,Asian,15–19,M,H1,2011,4.0,94.0
374,Asian,15–19,M,H1,2012,3.0,95.0
375,Asian,15–19,M,H1,2013,3.0,108.0
376,Asian,15–19,M,H1,2014,7.0,116.0
377,Asian,15–19,M,H1,2015,2.0,127.0
378,Asian,15–19,M,A4,2010,1.0,8.0
379,Asian,15–19,M,A4,2011,0.0,10.0
380,Asian,15–19,M,A4,2012,3.0,8.0
381,Asian,15–19,M,A4,2013,0.0,10.0
382,Asian,15–19,M,A4,2014,2.0,8.0
383,Asian,15–19,M,A4,2015,7.0,9.0
384,Asian,15–19,M,G5,2010,1.0,16.0
385,Asian,15–19,M,G5,2011,4.0,17.0
386,Asian,15–19,M,G5,2012,1.0,18.0
387,Asian,15–19,M,G5,2013,3.0,17.0
388,Asian,15–19,M,G5,2014,1.0,15.0
389,Asian,15–19,M,G5,2015,2.0,21.0
390,Asian,15–19,M,D1,2010,2.0,17.0
391,Asian,15–19,M,D1,2011,5.0,18.0
392,Asian,15–19,M,D1,2012,2.0,25.0
393,Asian,15–19,M,D1,2013,1.0,22.0
394,Asian,15–19,M,D1,2014,0.0,22.0
395,Asian,15–19,M,D1,2015,0.0,22.0
396,Asian,15–19,M,A3,2010,0.0,23.0
397,Asian,15–19,M,A3,2011,0.0,28.0
398,Asian,15–19,M,A3,2012,0.0,39.0
399,Asian,15–19,M,A3,2013,0.0,39.0
400,Asian,15–19,M,A3,2014,1.0,46.0
401,Asian,15–19,M,A3,2015,2.0,50.0
402,Asian,15–19,M,H5,2010,5.0,1305.0
403,Asian,15–19,M,H5,2011,22.0,1298.0
404,Asian,15–19,M,H5,2012,23.0,1341.0
405,Asian,15–19,M,H5,2013,18.0,1379.0
406,Asian,15–19,M,H5,2014,14.0,1375.0
407,Asian,15–19,M,H5,2015,13.0,1422.0
408,Asian,15–19,M,E1,2010,8.0,83.0
409,Asian,15–19,M,E1,2011,6.0,84.0
410,Asian,15–19,M,E1,2012,8.0,76.0
411,Asian,15–19,M,E1,2013,3.0,72.0
412,Asian,15–19,M,E1,2014,5.0,81.0
413,Asian,15–19,M,E1,2015,5.0,89.0
414,Asian,15–19,M,G3,2010,2.0,37.0
415,Asian,15–19,M,G3,2011,4.0,39.0
416,Asian,15–19,M,G3,2012,6.0,43.0
417,Asian,15–19,M,G3,2013,0.0,45.0
418,Asian,15–19,M,G3,2014,2.0,44.0
419,Asian,15–19,M,G3,2015,5.0,48.0
420,Asian,15–19,M,F1,2010,18.0,230.0
421,Asian,15–19,M,F1,2011,28.0,220.0
422,Asian,15–19,M,F1,2012,14.0,203.0
423,Asian,15–19,M,F1,2013,15.0,184.0
424,Asian,15–19,M,F1,2014,5.0,173.0
425,Asian,15–19,M,F1,2015,9.0,161.0
426,Asian,15–19,M,B6,2010,1.0,101.0
427,Asian,15–19,M,B6,2011,4.0,104.0
428,Asian,15–19,M,B6,2012,1.0,106.0
429,Asian,15–19,M,B6,2013,4.0,121.0
430,Asian,15–19,M,B6,2014,1.0,139.0
431,Asian,15–19,M,B6,2015,3.0,142.0
432,Asian,15–19,M,B5,2010,1.0,9.0
433,Asian,15–19,M,B5,2011,6.0,11.0
434,Asian,15–19,M,B5,2012,0.0,6.0
435,Asian,15–19,M,B5,2013,0.0,6.0
436,Asian,15–19,M,B5,2014,0.0,6.0
437,Asian,15–19,M,B5,2015,5.0,7.0
438,Asian,15–19,M,A8,2010,0.0,15.0
